Candidates_of_the_same_steps, Hellinger Distance, Probabilities 
[[480, 522], [522, 480]]&0.1771796&1.43491144861e-05
[[481, 521], [521, 481]]&0.168863&2.3657690269e-05
[[482, 520], [520, 482]]&0.1605289&3.90049371621e-05
[[519, 483], [483, 519]]&0.1521781&6.43082695615e-05
[[484, 518], [518, 484]]&0.1438115&0.000106026411908
[[485, 517], [517, 485]]&0.1354299&0.000174808000569
[[516, 486], [486, 516]]&0.1270342&0.000288209668826
[[515, 487], [487, 515]]&0.1186253&0.000475177411415
[[488, 514], [514, 488]]&0.110204&0.000783435105556
[[513, 489], [489, 513]]&0.1017712&0.00129166612274
[[490, 512], [512, 490]]&0.0933277&0.00212959741121
[[511, 491], [491, 511]]&0.0848745&0.00351111254989
[[510, 492], [492, 510]]&0.0764124&0.00578884594482
[[509, 493], [493, 509]]&0.0679424&0.00954419344204
[[494, 508], [508, 494]]&0.0594652&0.0157357147396
[[507, 495], [495, 507]]&0.0509817&0.0259438076008
[[506, 496], [496, 506]]&0.0424929&0.0427741074344
[[497, 505], [505, 497]]&0.0339997&0.0705225807623
[[498, 504], [504, 498]]&0.0255029&0.116272078967
[[499, 503], [503, 499]]&0.0170034&0.191700249782
[[500, 502], [502, 500]]&0.0085022&0.316060279414
[[501, 501]]&0.0&0.196734670144
