Candidates_of_the_same_steps, Hellinger Distance, Probabilities 
[[8, 132, 13], [13, 8, 132], [132, 8, 13], [13, 132, 8], [132, 13, 8], [8, 13, 132]]&0.996087&9.1264182013e-06
[[1, 119, 33], [33, 1, 119], [33, 119, 1], [119, 1, 33], [119, 33, 1], [1, 33, 119]]&0.995967&9.13607086708e-06
[[9, 12, 132], [9, 132, 12], [12, 9, 132], [12, 132, 9], [132, 9, 12], [132, 12, 9]]&0.995952&9.13720524199e-06
[[11, 10, 132], [10, 11, 132], [10, 132, 11], [11, 132, 10], [132, 10, 11], [132, 11, 10]]&0.995884&9.14267467327e-06
[[128, 4, 21], [128, 21, 4], [4, 21, 128], [4, 128, 21], [21, 128, 4], [21, 4, 128]]&0.995846&9.14575650143e-06
[[24, 3, 126], [126, 3, 24], [126, 24, 3], [3, 24, 126], [3, 126, 24], [24, 126, 3]]&0.995835&9.14664300918e-06
[[15, 131, 7], [131, 15, 7], [131, 7, 15], [7, 15, 131], [15, 7, 131], [7, 131, 15]]&0.995812&9.14848198149e-06
[[2, 28, 123], [2, 123, 28], [123, 28, 2], [123, 2, 28], [28, 2, 123], [28, 123, 2]]&0.995802&9.14928780904e-06
[[1, 118, 34], [118, 34, 1], [34, 1, 118], [34, 118, 1], [118, 1, 34], [1, 34, 118]]&0.99573&9.15506742737e-06
[[19, 129, 5], [129, 5, 19], [129, 19, 5], [19, 5, 129], [5, 19, 129], [5, 129, 19]]&0.995682&9.15890293486e-06
[[17, 6, 130], [17, 130, 6], [130, 6, 17], [130, 17, 6], [6, 17, 130], [6, 130, 17]]&0.995673&9.1596621846e-06
[[8, 131, 14], [14, 131, 8], [131, 14, 8], [131, 8, 14], [14, 8, 131], [8, 14, 131]]&0.995564&9.16845537029e-06
[[2, 29, 122], [122, 29, 2], [2, 122, 29], [29, 2, 122], [29, 122, 2], [122, 2, 29]]&0.995506&9.17312258718e-06
[[125, 3, 25], [125, 25, 3], [25, 3, 125], [25, 125, 3], [3, 25, 125], [3, 125, 25]]&0.995492&9.17420149352e-06
[[35, 1, 117], [1, 117, 35], [117, 1, 35], [117, 35, 1], [35, 117, 1], [1, 35, 117]]&0.995489&9.17448013517e-06
[[127, 22, 4], [127, 4, 22], [22, 127, 4], [4, 22, 127], [4, 127, 22], [22, 4, 127]]&0.995461&9.17675561979e-06
[[9, 13, 131], [9, 131, 13], [13, 9, 131], [131, 13, 9], [13, 131, 9], [131, 9, 13]]&0.995382&9.18311878191e-06
[[16, 130, 7], [16, 7, 130], [130, 16, 7], [130, 7, 16], [7, 16, 130], [7, 130, 16]]&0.995306&9.18925855171e-06
[[10, 12, 131], [10, 131, 12], [12, 131, 10], [131, 12, 10], [131, 10, 12], [12, 10, 131]]&0.995271&9.19207925534e-06
[[20, 5, 128], [128, 5, 20], [128, 20, 5], [5, 20, 128], [5, 128, 20], [20, 128, 5]]&0.995247&9.19399032479e-06
[[1, 116, 36], [116, 1, 36], [116, 36, 1], [36, 116, 1], [36, 1, 116], [1, 36, 116]]&0.995243&9.19427751544e-06
[[11, 11, 131], [131, 11, 11], [11, 131, 11]]&0.995233&4.59754676107e-06
[[2, 30, 121], [2, 121, 30], [121, 30, 2], [30, 2, 121], [121, 2, 30], [30, 121, 2]]&0.9952&9.19775104236e-06
[[129, 6, 18], [129, 18, 6], [18, 6, 129], [18, 129, 6], [6, 18, 129], [6, 129, 18]]&0.995196&9.19807155519e-06
[[3, 26, 124], [124, 3, 26], [26, 3, 124], [3, 124, 26], [124, 26, 3], [26, 124, 3]]&0.995136&9.20295624691e-06
[[23, 126, 4], [126, 4, 23], [126, 23, 4], [23, 4, 126], [4, 23, 126], [4, 126, 23]]&0.995057&9.20936484303e-06
[[8, 130, 15], [15, 130, 8], [130, 15, 8], [130, 8, 15], [15, 8, 130], [8, 15, 130]]&0.995&9.21391087663e-06
[[1, 115, 37], [115, 1, 37], [115, 37, 1], [37, 1, 115], [37, 115, 1], [1, 37, 115]]&0.994994&9.21442613947e-06
[[2, 31, 120], [2, 120, 31], [120, 2, 31], [120, 31, 2], [31, 120, 2], [31, 2, 120]]&0.994886&9.22314410675e-06
[[5, 21, 127], [127, 21, 5], [127, 5, 21], [21, 127, 5], [5, 127, 21], [21, 5, 127]]&0.994788&9.23112515859e-06
[[123, 27, 3], [3, 27, 123], [3, 123, 27], [123, 3, 27], [27, 3, 123], [27, 123, 3]]&0.994766&9.23288769291e-06
[[9, 14, 130], [14, 130, 9], [17, 7, 129], [129, 7, 17], [129, 17, 7], [9, 130, 14], [17, 129, 7], [130, 9, 14], [130, 14, 9], [14, 9, 130], [7, 17, 129], [7, 129, 17]]&0.994765&1.84659812428e-05
[[1, 114, 38], [114, 1, 38], [114, 38, 1], [38, 1, 114], [38, 114, 1], [1, 38, 114]]&0.994742&9.2348906996e-06
[[19, 128, 6], [128, 6, 19], [128, 19, 6], [19, 6, 128], [6, 19, 128], [6, 128, 19]]&0.994691&9.23898911945e-06
[[125, 4, 24], [125, 24, 4], [24, 4, 125], [4, 24, 125], [4, 125, 24], [24, 125, 4]]&0.994634&9.24357843627e-06
[[10, 13, 130], [10, 130, 13], [130, 13, 10], [130, 10, 13], [13, 10, 130], [13, 130, 10]]&0.994605&9.24599926227e-06
[[32, 119, 2], [2, 32, 119], [2, 119, 32], [119, 2, 32], [119, 32, 2], [32, 2, 119]]&0.994564&9.24926944205e-06
[[11, 12, 130], [130, 12, 11], [12, 11, 130], [130, 11, 12], [12, 130, 11], [11, 130, 12]]&0.994523&9.25259174308e-06
[[1, 113, 39], [113, 1, 39], [113, 39, 1], [39, 1, 113], [39, 113, 1], [1, 39, 113]]&0.994486&9.25563409146e-06
[[8, 129, 16], [129, 8, 16], [129, 16, 8], [16, 8, 129], [16, 129, 8], [8, 16, 129]]&0.994397&9.26288140883e-06
[[122, 28, 3], [3, 28, 122], [3, 122, 28], [28, 3, 122], [28, 122, 3], [122, 3, 28]]&0.994384&9.26397178043e-06
[[126, 5, 22], [126, 22, 5], [22, 126, 5], [5, 22, 126], [22, 5, 126], [5, 126, 22]]&0.994306&9.27031731222e-06
[[33, 2, 118], [2, 33, 118], [2, 118, 33], [33, 118, 2], [118, 33, 2], [118, 2, 33]]&0.994235&9.27609147443e-06
[[1, 112, 40], [112, 40, 1], [112, 1, 40], [40, 1, 112], [1, 40, 112], [40, 112, 1]]&0.994228&9.27661750362e-06
[[25, 4, 124], [25, 124, 4], [124, 4, 25], [124, 25, 4], [4, 25, 124], [4, 124, 25]]&0.994194&9.27938514401e-06
[[128, 7, 18], [128, 18, 7], [18, 7, 128], [18, 128, 7], [7, 18, 128], [7, 128, 18]]&0.994189&9.27979114453e-06
[[20, 6, 127], [127, 20, 6], [127, 6, 20], [6, 20, 127], [6, 127, 20], [20, 127, 6]]&0.994157&9.28244705477e-06
[[9, 15, 129], [129, 9, 15], [129, 15, 9], [9, 129, 15], [15, 9, 129], [15, 129, 9]]&0.994101&9.28695163676e-06
[[3, 29, 121], [3, 121, 29], [121, 3, 29], [121, 29, 3], [29, 3, 121], [29, 121, 3]]&0.993988&9.29617995209e-06
[[1, 111, 41], [41, 111, 1], [111, 1, 41], [111, 41, 1], [1, 41, 111], [41, 1, 111]]&0.993968&9.29780051468e-06
[[2, 34, 117], [2, 117, 34], [34, 2, 117], [34, 117, 2], [117, 2, 34], [117, 34, 2]]&0.993898&9.3035714401e-06
[[14, 129, 10], [129, 10, 14], [129, 14, 10], [10, 14, 129], [10, 129, 14], [14, 10, 129]]&0.993885&9.30460577335e-06
[[125, 5, 23], [23, 125, 5], [125, 23, 5], [23, 5, 125], [5, 23, 125], [5, 125, 23]]&0.9938&9.31157019257e-06
[[129, 11, 13], [129, 13, 11], [11, 13, 129], [13, 11, 129], [13, 129, 11], [11, 129, 13]]&0.993753&9.31538660685e-06
[[8, 128, 17], [128, 8, 17], [128, 17, 8], [17, 8, 128], [17, 128, 8], [8, 17, 128]]&0.993752&9.31545624686e-06
[[123, 4, 26], [123, 26, 4], [26, 4, 123], [26, 123, 4], [4, 26, 123], [4, 123, 26]]&0.993736&9.31676807948e-06
[[129, 12, 12], [12, 12, 129], [12, 129, 12]]&0.993709&4.65950600065e-06
